Time,new follower,tweets,impressions,engagements,engagement rate
Sept. 2016,0,475,6681,35,7.90%
Oct.,0,570,1210,14,4.00%
Nov.,0,599,2363,20,4.60%
Dec.,0,563,3783,19,0.90%
Jan. 2017,2,559,3230,22,0.40%
Feb.,2,424,2663,13,0.40%
Mar.,1,668,166324,23,0.10%
Apr.,4,550,201600,66,0.00%
May,4,516,258450,53,0.10%
June,8,121,22560,14,0.10%
July,2,364,31233,68,0.20%
Aug,11,515,50420,108,0.20%
Sept,8,509,47631,72,0.20%
Oct,7,640,40921,130,0.40%
Nov,6,669,43527,217,0.40%
Dec,5,758,60306,56,0.20%
Jan. 2018,5,583,50018,39,0.10%
Feb,3,417,37498,68,0.20%
Mar,15,735,68718,119,0.20%
Apr,9,128,11869,23,0.40%
May,10,168,16694,61,0.50%
June,3,443,,,
July,,,,, 
